industry_code,industry_name,indicator_id,indicator_name,unit,1981,1986,1991,1996,2001,2006,2011,2016,2021,change_2016_to_2021_pct
G,Wholesale and Retail Trade,2,Number of employees (year-end),persons,868442.0,951293.0,1272488.0,1645515.0,1795799.0,1889924.0,1912462.0,2010065.0,2111072.0,5.03
G,Wholesale and Retail Trade,3,Average annual labour compensation per employed worker,NTD,87407.0,127011.0,220915.0,355648.0,444641.0,465103.0,497782.0,532243.0,606730.0,13.99
G,Wholesale and Retail Trade,4,Total annual receipts of enterprises,million NTD,985902.0,1570142.0,3276274.0,6133939.0,7919497.0,11620362.0,13132169.0,13022731.0,16401750.0,25.95
G,Wholesale and Retail Trade,5,Total annual expenditures of enterprises,million NTD,955977.0,1508451.0,3105289.0,5851750.0,7404972.0,10937286.0,12337024.0,12137506.0,15242942.0,25.59
G,Wholesale and Retail Trade,6,Total annual output of enterprises,million NTD,210096.0,317283.0,706066.0,1427198.0,1826090.0,2448675.0,2945440.0,3113540.0,3716763.0,19.37
G,Wholesale and Retail Trade,7,Gross value added of enterprises,million NTD,138117.0,219237.0,551221.0,1072094.0,1281228.0,1606590.0,1872641.0,2066247.0,2509326.0,21.44
G,Wholesale and Retail Trade,8,Net assets in actual use (year-end),million NTD,794134.0,890222.0,3063086.0,5985338.0,7598452.0,7745122.0,8836167.0,10943476.0,14621666.0,33.61
G,Wholesale and Retail Trade,9,Net fixed assets in actual use (year-end),million NTD,435433.0,432995.0,1974999.0,3420293.0,4368944.0,4021897.0,4669008.0,5483801.0,7131507.0,30.05
G,Wholesale and Retail Trade,10(1),Average number of employees per enterprise,persons,3.0,2.9,3.4,4.0,4.1,3.9,3.9,3.9,3.9,-2.13
G,Wholesale and Retail Trade,10(2),Average assets in actual use per enterprise,thousand NTD,2703.0,2749.0,8239.0,14487.0,17342.0,15806.0,17826.0,21461.0,26721.0,24.51
G,Wholesale and Retail Trade,11,Labour equipment ratio,thousand NTD,914.0,936.0,2407.0,3637.0,4231.0,4098.0,4620.0,5444.0,6926.0,27.22
