industry_code,industry_name,year,enterprises,employees,labor_compensation,revenue,expenditure,gross_output,value_added,assets,fixed_assets,avg_employees_per_firm,avg_assets_per_firm,capital_labor_ratio,labor_productivity,capital_productivity_assets,capital_productivity_fixed,labor_cost_ratio,value_added_rate,profit_rate,asset_turnover
R,"Arts, Entertainment and Recreation",2001,11333,59438,418009,73135,59672,68262,42527,384529,333917,5.2,33930,6469,715,0.11,0.13,27.22,62.3,18.41,18.53
R,"Arts, Entertainment and Recreation",2006,17919,68613,436291,89733,78784,83705,47799,439440,392336,3.8,24524,6405,697,0.11,0.12,33.04,57.1,12.2,19.84
R,"Arts, Entertainment and Recreation",2011,17061,70548,432452,97973,83578,89482,47507,473279,416143,4.1,27740,6709,673,0.1,0.11,31.61,53.09,14.69,19.28
R,"Arts, Entertainment and Recreation",2016,19360,82688,473068,126105,109035,114705,60549,606480,518875,4.3,31326,7335,732,0.1,0.12,30.7,52.79,13.54,19.26
R,"Arts, Entertainment and Recreation",2021,26603,91370,496961,128423,123506,114051,52601,789387,677100,3.4,29673,8639,576,0.07,0.08,29.69,46.12,3.83,14.67
S,Other Services,1981,46304,116780,79284,25134,21778,22539,14635,56651,51379,2.5,1223,485,125,0.26,0.28,42.51,64.93,13.35,44.11
S,Other Services,1986,51528,121699,105101,37306,31981,33428,20710,59946,51598,2.4,1163,493,170,0.35,0.4,39.99,61.95,14.27,61.98
S,Other Services,1991,54807,139812,200046,84406,71964,76948,46777,244366,225192,2.6,4459,1748,335,0.19,0.21,38.87,60.79,14.74,34.27
S,Other Services,1996,57052,149996,319146,133140,116444,124192,77087,353801,292180,2.6,6201,2359,514,0.22,0.26,41.11,62.07,12.54,37.07
S,Other Services,2001,69348,147803,416094,174832,127391,165591,93590,381404,302196,2.1,5500,2580,633,0.25,0.31,25.45,56.52,27.13,45.24
S,Other Services,2006,81724,149053,436811,173909,126657,165885,96155,461010,373107,1.8,5641,3093,645,0.21,0.26,30.82,57.96,27.17,37.43
S,Other Services,2011,92697,160690,426264,206719,153320,196848,110032,512676,437990,1.7,5531,3190,685,0.21,0.25,26.95,55.9,25.83,40.01
S,Other Services,2016,104817,200041,450211,279083,208644,267964,147532,740029,582211,1.9,7060,3699,738,0.2,0.25,26.69,55.06,25.24,37.45
S,Other Services,2021,108538,194659,451929,241929,188844,229725,117777,871958,659358,1.8,8034,4479,605,0.14,0.18,27.15,51.27,21.94,27.12
